Real,Imaginary
0.3,0.3
0.299985,0.299985
0.299939,0.299939
0.299864,0.299864
0.299757,0.299757
0.299621,0.299621
0.299454,0.299454
0.299257,0.299257
0.29903,0.29903
0.298773,0.298773
0.298485,0.298485
0.298168,0.298168
0.29782,0.29782
0.297442,0.297442
0.297034,0.297034
0.296596,0.296596
0.296127,0.296127
0.29563,0.29563
0.295102,0.295102
0.294544,0.294544
0.293957,0.293957
0.293339,0.293339
0.292693,0.292693
0.292016,0.292016
0.29131,0.29131
0.290575,0.290575
0.28981,0.28981
0.289016,0.289016
0.288193,0.288193
0.287341,0.287341
0.286459,0.286459
0.285549,0.285549
0.28461,0.28461
0.283642,0.283642
0.282645,0.282645
0.28162,0.28162
0.280567,0.280567
0.279485,0.279485
0.278374,0.278374
0.277236,0.277236
0.27607,0.27607
0.274875,0.274875
0.273653,0.273653
0.272403,0.272403
0.271126,0.271126
0.269822,0.269822
0.26849,0.26849
0.267131,0.267131
0.265745,0.265745
0.264332,0.264332
0.262892,0.262892
0.261426,0.261426
0.259933,0.259933
0.258414,0.258414
0.256869,0.256869
0.255298,0.255298
0.253702,0.253702
0.252079,0.252079
0.250431,0.250431
0.248758,0.248758
0.24706,0.24706
0.245337,0.245337
0.243588,0.243588
0.241816,0.241816
0.240019,0.240019
0.238197,0.238197
0.236352,0.236352
0.234482,0.234482
0.232589,0.232589
0.230673,0.230673
0.228733,0.228733
0.22677,0.22677
0.224784,0.224784
0.222775,0.222775
0.220744,0.220744
0.218691,0.218691
0.216615,0.216615
0.214518,0.214518
0.212398,0.212398
0.210258,0.210258
0.208096,0.208096
0.205913,0.205913
0.203709,0.203709
0.201485,0.201485
0.199241,0.199241
0.196976,0.196976
0.194691,0.194691
0.192387,0.192387
0.190063,0.190063
0.18772,0.18772
0.185358,0.185358
0.182977,0.182977
0.180578,0.180578
0.178161,0.178161
0.175725,0.175725
0.173272,0.173272
0.170801,0.170801
0.168313,0.168313
0.165808,0.165808
0.163286,0.163286
0.160748,0.160748
0.158194,0.158194
0.155623,0.155623
0.153037,0.153037
0.150435,0.150435
0.147818,0.147818
0.145186,0.145186
0.14254,0.14254
0.139879,0.139879
0.137204,0.137204
0.134515,0.134515
0.131812,0.131812
0.129097,0.129097
0.126368,0.126368
0.123626,0.123626
0.120872,0.120872
0.118106,0.118106
0.115327,0.115327
0.112537,0.112537
0.109736,0.109736
0.106924,0.106924
0.1041,0.1041
0.101267,0.101267
0.0984226,0.0984226
0.0955687,0.0955687
0.0927051,0.0927051
0.0898322,0.0898322
0.0869501,0.0869501
0.0840593,0.0840593
0.08116,0.08116
0.0782524,0.0782524
0.075337,0.075337
0.072414,0.072414
0.0694836,0.0694836
0.0665462,0.0665462
0.0636021,0.0636021
0.0606516,0.0606516
0.0576949,0.0576949
0.0547324,0.0547324
0.0517644,0.0517644
0.0487912,0.0487912
0.045813,0.045813
0.0428301,0.0428301
0.039843,0.039843
0.0368518,0.0368518
0.0338569,0.0338569
0.0308586,0.0308586
0.0278571,0.0278571
0.0248529,0.0248529
0.0218461,0.0218461
0.0188371,0.0188371
0.0158263,0.0158263
0.0128138,0.0128138
0.00980004,0.00980004
0.00678527,0.00678527
0.00376982,0.00376982
0.000753985,0.000753985
-0.00226192,-0.00226192
-0.0052776,-0.0052776
-0.00829275,-0.00829275
-0.0113071,-0.0113071
-0.0143202,-0.0143202
-0.0173319,-0.0173319
-0.0203419,-0.0203419
-0.0233498,-0.0233498
-0.0263553,-0.0263553
-0.0293582,-0.0293582
-0.0323582,-0.0323582
-0.0353548,-0.0353548
-0.0383479,-0.0383479
-0.0413371,-0.0413371
-0.0443221,-0.0443221
-0.0473027,-0.0473027
-0.0502784,-0.0502784
-0.0532491,-0.0532491
-0.0562144,-0.0562144
-0.059174,-0.059174
-0.0621277,-0.0621277
-0.065075,-0.065075
-0.0680158,-0.0680158
-0.0709497,-0.0709497
-0.0738764,-0.0738764
-0.0767957,-0.0767957
-0.0797072,-0.0797072
-0.0826107,-0.0826107
-0.0855058,-0.0855058
-0.0883922,-0.0883922
-0.0912698,-0.0912698
-0.0941381,-0.0941381
-0.0969969,-0.0969969
-0.0998459,-0.0998459
-0.102685,-0.102685
-0.105513,-0.105513
-0.108331,-0.108331
-0.111138,-0.111138
-0.113934,-0.113934
-0.116718,-0.116718
-0.11949,-0.11949
-0.122251,-0.122251
-0.124999,-0.124999
-0.127734,-0.127734
-0.130456,-0.130456
-0.133165,-0.133165
-0.135861,-0.135861
-0.138543,-0.138543
-0.141211,-0.141211
-0.143865,-0.143865
-0.146504,-0.146504
-0.149129,-0.149129
-0.151738,-0.151738
-0.154332,-0.154332
-0.15691,-0.15691
-0.159473,-0.159473
-0.162019,-0.162019
-0.164549,-0.164549
-0.167063,-0.167063
-0.169559,-0.169559
-0.172039,-0.172039
-0.174501,-0.174501
-0.176945,-0.176945
-0.179371,-0.179371
-0.18178,-0.18178
-0.18417,-0.18417
-0.186541,-0.186541
-0.188894,-0.188894
-0.191227,-0.191227
-0.193541,-0.193541
-0.195836,-0.195836
-0.198111,-0.198111
-0.200365,-0.200365
-0.2026,-0.2026
-0.204814,-0.204814
-0.207007,-0.207007
-0.20918,-0.20918
-0.211331,-0.211331
-0.213461,-0.213461
-0.215569,-0.215569
-0.217656,-0.217656
-0.21972,-0.21972
-0.221762,-0.221762
-0.223782,-0.223782
-0.22578,-0.22578
-0.227754,-0.227754
-0.229706,-0.229706
-0.231634,-0.231634
-0.233539,-0.233539
-0.23542,-0.23542
-0.237277,-0.237277
-0.239111,-0.239111
-0.24092,-0.24092
-0.242705,-0.242705
-0.244466,-0.244466
-0.246201,-0.246201
-0.247912,-0.247912
-0.249598,-0.249598
-0.251258,-0.251258
-0.252894,-0.252894
-0.254503,-0.254503
-0.256087,-0.256087
-0.257645,-0.257645
-0.259177,-0.259177
-0.260683,-0.260683
-0.262162,-0.262162
-0.263615,-0.263615
-0.265041,-0.265041
-0.266441,-0.266441
-0.267814,-0.267814
-0.269159,-0.269159
-0.270477,-0.270477
-0.271768,-0.271768
-0.273032,-0.273032
-0.274268,-0.274268
-0.275476,-0.275476
-0.276656,-0.276656
-0.277809,-0.277809
-0.278933,-0.278933
-0.280029,-0.280029
-0.281097,-0.281097
-0.282136,-0.282136
-0.283147,-0.283147
-0.28413,-0.28413
-0.285083,-0.285083
-0.286008,-0.286008
-0.286904,-0.286904
-0.287771,-0.287771
-0.288608,-0.288608
-0.289417,-0.289417
-0.290196,-0.290196
-0.290946,-0.290946
-0.291667,-0.291667
-0.292358,-0.292358
-0.29302,-0.29302
-0.293652,-0.293652
-0.294254,-0.294254
-0.294827,-0.294827
-0.295369,-0.295369
-0.295882,-0.295882
-0.296365,-0.296365
-0.296818,-0.296818
-0.297241,-0.297241
-0.297634,-0.297634
-0.297997,-0.297997
-0.29833,-0.29833
-0.298633,-0.298633
-0.298905,-0.298905
-0.299148,-0.299148
-0.29936,-0.29936
-0.299542,-0.299542
-0.299693,-0.299693
-0.299814,-0.299814
-0.299905,-0.299905
-0.299966,-0.299966
-0.299996,-0.299996
-0.299996,-0.299996
-0.299966,-0.299966
-0.299905,-0.299905
-0.299814,-0.299814
